"row","column","cor","p"
"existsCommonSlice","numberOfCommitsGeoAverage",0.306910773296212,0
"existsCommonSlice","numberOfAuthorsGeoAverage",0.18061822391225,0
"numberOfCommitsGeoAverage","numberOfAuthorsGeoAverage",0.738302055594024,0
"existsCommonSlice","numberOfChangedFilesGeoAverage",0.386256899571915,0
"numberOfCommitsGeoAverage","numberOfChangedFilesGeoAverage",0.754641196627922,0
"numberOfAuthorsGeoAverage","numberOfChangedFilesGeoAverage",0.56721504710838,0
"existsCommonSlice","numberOfChangedLinesGeoAverage",0.339199309105926,0
"numberOfCommitsGeoAverage","numberOfChangedLinesGeoAverage",0.740918389371803,0
"numberOfAuthorsGeoAverage","numberOfChangedLinesGeoAverage",0.526664001852149,0
"numberOfChangedFilesGeoAverage","numberOfChangedLinesGeoAverage",0.882646612389392,0
"existsCommonSlice","minimumLifeTimeGeoAverage",0.24110977164727,0
"numberOfCommitsGeoAverage","minimumLifeTimeGeoAverage",0.755406242700052,0
"numberOfAuthorsGeoAverage","minimumLifeTimeGeoAverage",0.619959988900283,0
"numberOfChangedFilesGeoAverage","minimumLifeTimeGeoAverage",0.57838044408974,0
"numberOfChangedLinesGeoAverage","minimumLifeTimeGeoAverage",0.581809751611157,0
"existsCommonSlice","contributionConclusionDelay",0.0863438098669386,0
"numberOfCommitsGeoAverage","contributionConclusionDelay",0.29047665706132,0
"numberOfAuthorsGeoAverage","contributionConclusionDelay",0.322036291484381,0
"numberOfChangedFilesGeoAverage","contributionConclusionDelay",0.262504347371386,0
"numberOfChangedLinesGeoAverage","contributionConclusionDelay",0.245912970599968,0
"minimumLifeTimeGeoAverage","contributionConclusionDelay",0.415145842362454,0
