mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
26857907edea6dcbfec449a63a19487df9acc582,1,0,0,11,14,227.0,93.17,3.5,3.46,24.5,6.93,47,727.0,657.12,96.0,58.65,54645.0,11213.91,48
55a1e8c1c7ef1bb7e7d2fedaf6f0b9b14429e77b,0,0,0,0,0,1.0,1.0,1.0,1.0,16.5,16.12,7,1.0,1.0,1.5,1.41,47.0,28.98,7
47fc434c04d9a9e5d778bd750da5b216fc8031dd,0,0,0,0,0,201.5,20.05,2.0,1.73,2.0,1.73,2,303.0,24.6,84.0,12.92,53791.5,655.98,3
bbb0e8f0dc8ab35a6687a17631b677e075dc9595,1,0,0,6,10,205.0,60.07,2.5,2.45,5.5,3.16,9,307.0,106.32,87.5,40.62,53882.0,4461.18,10
8537ed8c708b72854cc36708f0b819d3eebe572e,0,0,0,0,0,2.5,2.0,1.0,1.0,9.5,4.24,17,5.5,3.16,3.5,2.45,51.0,38.88,18
33a141f0e7ac8305cf12a0d5c77bc22dac6cb7ff,1,0,0,4,6,204.5,66.17,2.5,2.45,1.0,1.0,0,342.5,232.5,85.0,28.72,53809.0,2175.6,0
7c4b64a9f5f17ade98626f7582652c57633a6c55,1,1,1,1,1,181.0,42.25,2.0,1.73,1.0,1.0,0,231.0,21.47,101.5,28.21,51274.0,2863.12,1
5b0e1c31cb439e063a17c3aec0ee8e4fb0226918,0,0,0,0,0,176.5,18.76,2.0,1.73,1.0,1.0,0,231.0,21.47,100.0,14.11,51231.0,784.05,0
77bc004dd1ffb4e23c963c4e8a08ba47437d1fdc,0,0,0,0,0,177.0,32.45,2.0,1.73,1.0,1.0,0,231.0,21.47,100.0,14.11,51242.0,1693.74,0
fce3cee2f790077d0dc154309d91ceb3be8b1608,1,1,2,14,18,183.0,74.83,2.0,1.73,1.0,1.0,0,290.5,235.2,112.0,66.66,51601.5,8748.41,0
c2ed7175d1be14114ae6e022233295b95e109439,1,0,0,14,17,164.0,68.52,1.5,1.41,1.0,1.0,0,219.5,182.81,108.5,62.77,51445.5,11932.63,0
12a4b9fa3d41783da08ecd70266e3811fb5d1f27,1,0,0,11,14,140.0,64.99,2.5,2.45,19.0,6.08,36,148.5,79.39,105.5,55.86,49102.5,6617.79,37
030c4c342959f2a1dc510c731ac7010bfbca9aaa,1,0,0,1,5,68.0,16.37,1.5,1.41,5.5,3.16,9,111.0,41.38,81.5,12.73,43605.0,417.63,10
390f91794b111a487025ac74b817bd2ebad71b62,1,0,0,1,1,68.5,23.07,1.5,1.41,12.0,4.8,22,107.5,14.63,82.0,18.0,43645.0,2674.15,23
e86a00584aa8ed29fe667059715eeb002708a8c1,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.0,1.0,41.0,15.39,0
a83fd12a609362b8808143db9fed1edafc5a6181,1,1,8,19,20,45.5,45.03,2.0,1.73,1.0,1.0,0,112.0,106.71,84.0,57.75,26226.0,6320.43,0
be8bcb758df1aca0986870f0946dd3a41e064884,0,0,0,0,0,3.5,2.45,1.0,1.0,1.0,1.0,0,2.5,2.0,5.5,3.16,63.0,49.48,0
2c78564592826e87f038bc745425913a6815f25b,0,0,0,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,2.5,2.0,5.5,3.16,48.5,13.78,0
64b55030eb386da139a7c898183b830668bd1284,0,0,0,0,0,3.0,3.0,1.0,1.0,1.0,1.0,0,2.5,2.0,7.5,7.07,55.0,37.75,0
e35b2ffd11744a932b41cbfc18eb4f692b64b1e7,0,0,0,0,0,2.0,1.73,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,59.0,29.66,0
a68610372c700c4ab946df7e674af10c286da85e,1,0,0,4,4,18.0,15.59,1.0,1.0,1.0,1.0,0,21.0,6.4,57.0,27.37,4439.0,587.13,1
d958a953f6edafeeec410064a94ecb43c421d9ef,1,1,3,9,10,15.5,14.83,1.5,1.41,1.0,1.0,0,34.0,33.63,59.0,36.95,4395.5,1189.47,0
